,Runs / Minutes,Batter,Match,Location,Season
0,0 / 101,GI Allott,New Zealand v South Africa,Auckland,2005-06
1,5 / 102,Nawab of Pataudi jr,India v England,Bombay,1972-73
2,6 / 137,SCJ Broad,England v New Zealand,Auckland,2012-13
3,6 / 106,DR Martyn,Australia v South Africa,Sydney,1993-94
4,7 / 123,G Miller,England v Australia,Melbourne,1978-79
5,9 / 132,RK Chauhan,India v Sri Lanka,Ahmedabad,1993-94
6,10* / 133,TG Evans,England v Australia,Adelaide,1946-47
7,12 / 140,R Dravid,India v England,The Oval,2007
8,14* / 165,DK Morrison,New Zealand v England,Auckland,1996-97
9,17 / 194,HE van der Dussen,South Africa v England,Cape Town,2019-20
10,18 / 194,WR Playle,New Zealand v England,Leeds,1958
11,19 / 217,MD Crowe,New Zealand v Sri Lanka,Colombo,1983-84
12,25 / 242,DK Morrison,New Zealand v Pakistan,Faisalabad,1990-91
13,25 / 289,HM Amla,South Africa v India,Delhi,2015-16
14,29* / 277,RC Russell,England v South Africa,Johannesburg,1995-96
15,35 / 332,CJ Tavare,England v India,Madras,1981-82
16,43 / 354,AB de Villiers,South Africa v India,Delhi,2015-16
17,60 / 390,DN Sardesai,India v West Indies,Bridgetown,1961-62
18,62 / 408,Ramiz Raja,Pakistan v West Indies,Karachi,1986-87
19,68 / 458,TE Bailey,England v Australia,Brisbane,1958-59
20,99 / 505,ML Jaisimha,India v Pakistan,Kanpur,1960-61
21,105 / 575,DJ McGlew,South Africa v Australia,Durban,1957-58
22,114 / 591,Mudassar Nazar,Pakistan v England,Lahore,1977-78
23,163 / 720,Shoaib Mohammad,Pakistan v New Zealand,Wellington,1988-89
24,201* / 777,DSBP Kuruppu,Sri Lanka v New Zealand,Colombo,1986-87
25,263 / 836,AN Cook,England v Pakistan,Abu Dhabi,2015-16
26,337 / 970,Hanif Mohammad,Pakistan v West Indies,Bridgetown,1957-58
