,Minutes,Balls, , ,,
0,357,350,TE Bailey (68),England v Australia,Brisbane,1958-59
1,350,236,CJ Tavaré (82),England v Pakistan,Lord's,1982
2,342,215,DM Bravo (50),West Indies v England,North Sound,2018-19
3,333,229,BA Young (51),New Zealand v South Africa,Durban,1994-95
4,326,,SM Gavaskar (51),India v Sri Lanka,Colombo (SSC),1985-86
5,318,209,Ramiz Raja (62),Pakistan v West Indies,Karachi,1986-87
6,316,,CPS Chauhan (61),India v Pakistan,Kanpur,1979-80
7,315,,Shoaib Mohammad (53*),Pakistan v Zimbabwe,Lahore,1993-94
8,313,,DJ McGlew (70),South Africa v Australia,Johannesburg,1957-58
9,312,212,JJ Crowe (120*),New Zealand v Sri Lanka,Colombo (CCC),1986-87
10,310,,BA Edgar (55),New Zealand v Australia,Wellington,1981-82
11,310,262,AR Border (75),Australia v West Indies,Sydney,1988-89
12,306,219,CJ Tavaré (78),England v Australia,Manchester,1981
13,305,199,D Elgar (81),South Africa v Australia,Johannesburg,2017-18
14,304,235,PL Taylor (54*),Australia v Pakistan,Karachi,1988-89
15,302,,DN Sardesai (60),India v West Indies,Bridgetown,1961-62
16,301,238,EJ Gray (50),New Zealand v England,Nottingham,1986
17,300,,GS Camacho (57),West Indies v England,Bridgetown,1967-68
18,300,,KS More (55),India v South Africa,Durban,1992-93
