,Balls,Min,,,,
0,548,777,DSBP Kuruppu (201*),Sri Lanka v New Zealand,Colombo (CCC),1986-87
1,524,433,D Houghton (266),Zimbabwe v Sri Lanka,Bulawayo,1994-95
2,522,741,G Kirsten (275),South Africa v England,Durban,1999-00
3,520,654,G Flower (201*),Zimbabwe v Pakistan,Harare,1994-95
4,488,671,NS Sidhu (201),India v West Indies,Port-of-Spain,1996-97
5,484,650,S Campbell (208),West Indies v New Zealand,Bridgetown,1995-96
6,451,652,MS Atapattu (207*),Sri Lanka v Pakistan,Kandy,2000-01
7,426,652,AD Gaekwad (201),India v Pakistan,Jalandhar,1983-84
8,411,656,Shoaib Mohammad (203*),Pakistan v New Zealand,Karachi,1990-91
9,,608,RB Simpson (311),Australia v England,Manchester,1964
