,Player,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,GC Grant,53*,71*,,West Indies,v Australia,Adelaide,12 Dec 1930,Test # 199
1,FCM Alexander,63*,87*,,West Indies,v Australia,Adelaide,27 Jan 1961,Test # 504
2,KF Barrington,151*,52*,,England,v India,Brabourne,11 Nov 1961,Test # 513
3,RG Nadkarni,52*,122*,,India,v England,Kanpur,15 Feb 1964,Test # 557
4,CA Davis,71*,74*,,West Indies,v India,Port of Spain,6 Mar 1971,Test # 683
5,Javed Miandad,88*,61*,,Pakistan,v England,Hyderabad (Sind),2 Jan 1978,Test # 813
6,AR Border,98*,100*,,Australia,v West Indies,Port of Spain,16 Mar 1984,Test # 983
7,RA Smith,121*,61*,,England,v India,Manchester,9 Aug 1990,Test # 1149
8,Saleem Malik,82*,84*,,Pakistan,v England,Leeds,23 Jul 1992,Test # 1192
9,JC Adams,174*,78*,,West Indies,v India,Mohali,10 Dec 1994,Test # 1278
10,BM McMillan,103*,59*,,South Africa,v India,Cape Town,2 Jan 1997,Test # 1349
11,PA de Silva,138*,103*,,Sri Lanka,v Pakistan,Colombo (SSC),26 Apr 1997,Test # 1367
12,Azhar Mahmood,128*,50*,,Pakistan,v South Africa,Rawalpindi,6 Oct 1997,Test # 1380
13,R Dravid,200*,70*,,India,v Zimbabwe,Delhi,18 Nov 2000,Test # 1515
14,MS Sinclair,204*,50*,,New Zealand,v Pakistan,Christchurch,15 Mar 2001,Test # 1536
15,SP Fleming,274*,69*,,New Zealand,v Sri Lanka,Colombo (PSS),25 Apr 2003,Test # 1641
16,VVS Laxman,104*,67*,,India,v New Zealand,Mohali,16 Oct 2003,Test # 1662
17,SR Tendulkar,241*,60*,,India,v Australia,Sydney,2 Jan 2004,Test # 1680
18,S Chanderpaul,128*,97*,,West Indies,v England,Lord's,22 Jul 2004,Test # 1707
19,S Chanderpaul,65*,70*,,West Indies,v South Africa,Cape Town,2 Jan 2008,Test # 1858
20,S Chanderpaul,107*,77*,,West Indies,v Australia,North Sound,30 May 2008,Test # 1877
21,VVS Laxman,200*,59*,,India,v Australia,Delhi,29 Oct 2008,Test # 1891
22,S Chanderpaul,84*,101*,,West Indies,v Bangladesh,Gros Islet,13 Sep 2014,Test # 2139
23,SPD Smith,162*,52*,,Australia,v India,Adelaide,9 Dec 2014,Test # 2148
24,SPD Smith,134*,70*,,Australia,v West Indies,Melbourne,26 Dec 2015,Test # 2195
25,LRPL Taylor,124*,67*,,New Zealand,v Zimbabwe,Bulawayo,6 Aug 2016,Test # 2214
26,WP Saha,54*,58*,,India,v New Zealand,Kolkata,30 Sep 2016,Test # 2222
27,KC Brathwaite,142*,60*,,West Indies,v Pakistan,Sharjah,30 Oct 2016,Test # 2229
