,Player,Age,Runs,,Team,Opposition,Ground,Match Date,Scorecard
0,Javed Miandad,19y 140d,206,,Pakistan,v New Zealand,Karachi,30 Oct 1976,Test # 784
1,GA Headley,20y 308d,223,,West Indies,v England,Kingston,3 Apr 1930,Test # 193
2,VG Kambli,21y 32d,224,,India,v England,Wankhede,19 Feb 1993,Test # 1214
3,GS Sobers,21y 213d,365*,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
4,GC Smith,21y 259d,200,,South Africa,v Bangladesh,East London,18 Oct 2002,Test # 1619
5,DPMD Jayawardene,21y 273d,242,,Sri Lanka,v India,Colombo (SSC),24 Feb 1999,Test # 1445
6,SM Gavaskar,21y 277d,220,,India,v West Indies,Port of Spain,13 Apr 1971,Test # 686
7,KC Brathwaite,21y 278d,212,,West Indies,v Bangladesh,Kingstown,5 Sep 2014,Test # 2138
8,DG Bradman,21y 304d,254,,Australia,v England,Lord's,27 Jun 1930,Test # 195
9,JA Rudolph,21y 355d,222*,,South Africa,v Bangladesh,Chattogram,24 Apr 2003,Test # 1640
10,L Hutton,22y 58d,364,,England,v Australia,The Oval,20 Aug 1938,Test # 266
11,DI Gower,22y 102d,200*,,England,v India,Birmingham,12 Jul 1979,Test # 851
12,Z Crawley,22y 200d,267,,England,v Pakistan,Southampton,21 Aug 2020,Test # 2393
13,CH Gayle,22y 280d,204,,West Indies,v New Zealand,St George's,28 Jun 2002,Test # 1608
14,RG Pollock,22y 307d,209,,South Africa,v Australia,Cape Town,31 Dec 1966,Test # 613
15,WJ Edrich,22y 342d,219,,England,v South Africa,Durban,3 Mar 1939,Test # 271
16,RB Kanhai,23y 5d,256,,West Indies,v India,Kolkata,31 Dec 1958,Test # 463
17,Hanif Mohammad,23y 27d,337,,Pakistan,v West Indies,Bridgetown,17 Jan 1958,Test # 446
18,Nawab of Pataudi,23y 34d,203*,,India,v England,Delhi,8 Feb 1964,Test # 556
19,LG Rowe,23y 39d,214,,West Indies,v New Zealand,Kingston,16 Feb 1972,Test # 693
20,KD Walters,23y 55d,242,,Australia,v West Indies,Sydney,14 Feb 1969,Test # 646
21,JE Root,23y 164d,200*,,England,v Sri Lanka,Lord's,12 Jun 2014,Test # 2124
22,EJ Barlow,23y 165d,201,,South Africa,v Australia,Adelaide,24 Jan 1964,Test # 553
23,BC Lara,23y 245d,277,,West Indies,v Australia,Sydney,2 Jan 1993,Test # 1208
24,Zaheer Abbas,23y 314d,274,,Pakistan,v England,Birmingham,3 Jun 1971,Test # 687
25,RR Sarwan,23y 347d,261*,,West Indies,v Bangladesh,Kingston,4 Jun 2004,Test # 1703
26,DJ McGlew,23y 360d,255*,,South Africa,v New Zealand,Wellington,6 Mar 1953,Test # 368
