,Player,Age,Runs,,Team,Opposition,Ground,Match Date,Scorecard
0,Mohammad Ashraful,17y 61d,114,,Bangladesh,v Sri Lanka,Colombo (SSC),6 Sep 2001,Test # 1561
1,Mushtaq Mohammad,17y 78d,101,,Pakistan,v India,Delhi,8 Feb 1961,Test # 505
2,SR Tendulkar,17y 107d,119*,,India,v England,Manchester,9 Aug 1990,Test # 1149
3,H Masakadza,17y 352d,119,,Zimbabwe,v West Indies,Harare,27 Jul 2001,Test # 1553
4,Imran Nazir,18y 154d,131,,Pakistan,v West Indies,Bridgetown,18 May 2000,Test # 1496
5,Saleem Malik,18y 323d,100*,,Pakistan,v Sri Lanka,Karachi,5 Mar 1982,Test # 923
6,PP Shaw,18y 329d,134,,India,v West Indies,Rajkot,4 Oct 2018,Test # 2319
7,Shahid Afridi,18y 333d,141,,Pakistan,v India,Chennai,28 Jan 1999,Test # 1442
8,Mohammad Ilyas,19y 21d,126,,Pakistan,v New Zealand,Karachi,9 Apr 1965,Test # 587
9,Mohammad Wasim,19y 105d,109*,,Pakistan,v New Zealand,Lahore,21 Nov 1996,Test # 1339
10,Javed Miandad,19y 119d,163,,Pakistan,v New Zealand,Lahore,9 Oct 1976,Test # 782
11,HG Vivian,19y 121d,100,,New Zealand,v South Africa,Wellington,4 Mar 1932,Test # 218
12,RN Harvey,19y 121d,153,,Australia,v India,Melbourne,6 Feb 1948,Test # 295
13,A Jackson,19y 149d,164,,Australia,v England,Adelaide,1 Feb 1929,Test # 179
14,Umar Akmal,19y 182d,129,,Pakistan,v New Zealand,Dunedin,24 Nov 2009,Test # 1934
15,AP Gurusinha,19y 187d,116*,,Sri Lanka,v Pakistan,Colombo (PSS),22 Mar 1986,Test # 1043
16,AB Barath,19y 226d,104,,West Indies,v Australia,Brisbane,26 Nov 2009,Test # 1936
17,RG Pollock,19y 317d,122,,South Africa,v Australia,Sydney,10 Jan 1964,Test # 550
18,Nafees Iqbal,19y 349d,121,,Bangladesh,v Zimbabwe,Dhaka,14 Jan 2005,Test # 1735
19,KD Walters,19y 354d,155,,Australia,v England,Brisbane,10 Dec 1965,Test # 597
20,PA de Silva,19y 364d,122,,Sri Lanka,v Pakistan,Faisalabad,16 Oct 1985,Test # 1026
21,Ijaz Ahmed,20y 3d,122,,Pakistan,v Australia,Faisalabad,23 Sep 1988,Test # 1105
22,DCS Compton,20y 18d,102,,England,v Australia,Nottingham,10 Jun 1938,Test # 263
23,N Kapil Dev,20y 18d,126*,,India,v West Indies,Delhi,24 Jan 1979,Test # 842
24,Hanif Mohammad,20y 25d,142,,Pakistan,v India,Bahawalpur,15 Jan 1955,Test # 395
25,Taufeeq Umar,20y 70d,104,,Pakistan,v Bangladesh,Multan,29 Aug 2001,Test # 1560
26,Salman Butt,20y 87d,108,,Pakistan,v Australia,Sydney,2 Jan 2005,Test # 1731
27,KS Williamson,20y 88d,131,,New Zealand,v India,Ahmedabad,4 Nov 2010,Test # 1974
28,PJ Hughes,20y 96d,115,,Australia,v South Africa,Durban,6 Mar 2009,Test # 1913
29,Abul Hasan,20y 108d,113,,Bangladesh,v West Indies,Khulna,21 Nov 2012,Test # 2060
30,Tamim Iqbal,20y 111d,128,,Bangladesh,v West Indies,Kingstown,9 Jul 2009,Test # 1923
31,DG Bradman,20y 124d,112,,Australia,v England,Melbourne,29 Dec 1928,Test # 178
32,AA Baig,20y 126d,112,,India,v England,Manchester,23 Jul 1959,Test # 477
33,ML Apte,20y 137d,163*,,India,v West Indies,Port of Spain,19 Feb 1953,Test # 367
34,HGO Owen-Smith,20y 145d,129,,South Africa,v England,Leeds,13 Jul 1929,Test # 183
35,A Ratra,20y 148d,115*,,India,v West Indies,St John's,10 May 2002,Test # 1602
36,Saeed Ahmed,20y 163d,150,,Pakistan,v West Indies,Georgetown,13 Mar 1958,Test # 452
37,Ali Naqvi,20y 201d,115,,Pakistan,v South Africa,Rawalpindi,6 Oct 1997,Test # 1380
38,GA Headley,20y 226d,176,,West Indies,v England,Bridgetown,11 Jan 1930,Test # 187
39,JW Burke,20y 235d,101*,,Australia,v England,Adelaide,2 Feb 1951,Test # 330
40,RJ Shastri,20y 248d,128,,India,v Pakistan,Karachi,30 Jan 1983,Test # 948
41,VL Manjrekar,20y 253d,133,,India,v England,Leeds,5 Jun 1952,Test # 351
42,DR Smith,20y 265d,105*,,West Indies,v South Africa,Cape Town,2 Jan 2004,Test # 1681
43,GR Viswanath,20y 276d,137,,India,v Australia,Kanpur,15 Nov 1969,Test # 666
44,MT Renshaw,20y 281d,184,,Australia,v Pakistan,Sydney,3 Jan 2017,Test # 2245
45,C Hill,20y 317d,188,,Australia,v England,Melbourne,29 Jan 1898,Test # 56
46,JW Hearne,20y 322d,114,,England,v Australia,Melbourne,30 Dec 1911,Test # 117
47,RR Pant,20y 338d,114,,India,v England,The Oval,7 Sep 2018,Test # 2318
48,AB de Villiers,20y 339d,109,,South Africa,v England,Centurion,21 Jan 2005,Test # 1736
49,Shahriar Nafees,20y 343d,138,,Bangladesh,v Australia,Fatullah,9 Apr 2006,Test # 1797
50,Abdul Razzaq,20y 363d,100*,,Pakistan,v England,Faisalabad,29 Nov 2000,Test # 1518
