,Player,Age,Runs,,Team,Opposition,Ground,Match Date,Scorecard
0,GS Sobers,21y 213d,365*,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
1,DG Bradman,21y 318d,334,,Australia,v England,Leeds,11 Jul 1930,Test # 196
2,L Hutton,22y 58d,364,,England,v Australia,The Oval,20 Aug 1938,Test # 266
3,Hanif Mohammad,23y 27d,337,,Pakistan,v West Indies,Bridgetown,17 Jan 1958,Test # 446
4,BC Lara,24y 349d,375,,West Indies,v England,St John's,16 Apr 1994,Test # 1259
5,KK Nair,25y 10d,303*,,India,v England,Chennai,16 Dec 2016,Test # 2241
6,LG Rowe,25y 57d,302,,West Indies,v England,Bridgetown,6 Mar 1974,Test # 734
7,RM Cowper,25y 129d,307,,Australia,v England,Melbourne,11 Feb 1966,Test # 601
8,V Sehwag,25y 160d,309,,India,v Pakistan,Multan,28 Mar 2004,Test # 1693
9,CH Gayle,25y 220d,317,,West Indies,v South Africa,St John's,29 Apr 2005,Test # 1750
